Short name(source language),Short name(English),Official name,Iso Code,OfficialLanguage,Language (English),Language Iso Code
Belgique/België,Belgium,Kingdom of Belgium,BE,,,
България ,Bulgaria,Republic of Bulgaria,BG,български,Bulgarian,bg
Česká republika,Czech Republic,Czech Republic,CZ,čeština,Czech,cs
Danmark,Denmark,Kingdom of Denmark,DK,dansk,Danish,da
Deutschland,Germany,Federal Republic of Germany,DE,Deutsch,German,de
Eesti,Estonia,Republic of Estonia,EE,eesti keel,Estonian,et
Éire/Ireland,Ireland,Ireland,IE,Gaeilge,Irish,ga
Ελλάδα ,Greece,Hellenic Republic,EL,ελληνικά,Greek,el
España,Spain,Kingdom of Spain,ES,español,Spanish,es
France,France,French Republic,FR,français,French,fr
Hrvatska,Croatia,Republic of Croatia,HR,hrvatski,Croatian,hr
Italia,Italy,Italian Republic,IT,italiano,Italian,it
Κύπρος ,Cyprus,Republic of Cyprus,CY,,,
Latvija,Latvia,Republic of Latvia,LV,latviešu valoda,Latvian,lv
Lietuva,Lithuania,Republic of Lithuania,LT,lietuvių kalba,Lithuanian,lt
Luxembourg,Luxembourg,Grand Duchy of Luxembourg,LU,,,
Magyarország,Hungary,Hungary,HU,magyar,Hungarian,hu
Malta,Malta,Republic of Malta,MT,Malti,Maltese,mt
Nederland,Netherlands,Kingdom of the Netherlands,NL,Nederlands,Dutch,nl
Österreich,Austria,Republic of Austria,AT,,,
Polska,Poland,Republic of Poland,PL,polski,Polish,pl
Portugal,Portugal,Portuguese Republic,PT,português,Portuguese,pt
România,Romania,Romania,RO,română,Romanian,ro
Slovenija,Slovenia,Republic of Slovenia,SI,slovenščina,Slovenian,sl
Slovensko,Slovakia,Slovak Republic,SK,slovenčina,Slovak,sk
Suomi/Finland,Finland,Republic of Finland,FI,suomi,Finnish,fi
Sverige,Sweden,Kingdom of Sweden,SE,svenska,Swedish,sv
United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,UK,English,English,en